,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[python x ChromLen|StatemInsertProb],1.078,0.95,0.546,1.457,0.007,0.005,25470.0,16478.0,1.0
g_mp[validation x TestDeleteProb|TestInsertionProb],1.078,0.789,0.523,1.443,0.006,0.004,22919.0,16463.0,1.0
g_mp[cmd x Elite|StatemInsertProb],1.078,0.737,0.511,1.436,0.005,0.004,24973.0,17515.0,1.0
g_mp[h_base x TestChangeProb|TestInsertionProb],1.078,0.741,0.555,1.468,0.006,0.004,24640.0,16907.0,1.0
g_mp[da x Elite|TestInsertProb],1.078,0.934,0.544,1.49,0.007,0.005,22396.0,16770.0,1.0
g_mp[timer x Elite|TestDeleteProb],1.078,0.75,0.509,1.426,0.006,0.004,22240.0,16066.0,1.0
g_mp[immutable_list x RandPert|TestChangeProb],1.078,0.716,0.501,1.451,0.005,0.004,22624.0,16465.0,1.0
g_mp[validation x Elite|RandPert],1.078,1.038,0.504,1.431,0.008,0.006,22713.0,16494.0,1.0
g_mp[validation x ChromLen|Pop],1.078,0.707,0.496,1.425,0.005,0.004,23024.0,16724.0,1.0
g_mp[journaling x Elite|TestDeleteProb],1.078,1.12,0.529,1.454,0.008,0.006,24448.0,16743.0,1.0
g_mp[headers x ChangeParamProb|TestChangeProb],1.078,0.721,0.5,1.442,0.005,0.004,23557.0,16325.0,1.0
g_mp[validation x Pop|TestInsertProb],1.078,0.725,0.515,1.438,0.005,0.004,22051.0,16476.0,1.0
g_mp[s_helpers x TestDeleteProb|TourSize],1.078,0.764,0.535,1.489,0.006,0.004,22979.0,16818.0,1.0
g_mp[cmd x StatemInsertProb|TestInsertionProb],1.078,0.944,0.535,1.465,0.007,0.005,24832.0,16476.0,1.0
g_mp[python x ChromLen|TestDeleteProb],1.078,0.747,0.526,1.467,0.006,0.004,24105.0,16301.0,1.0
g_mp[config x TestChangeProb|TestInsertionProb],1.078,0.853,0.533,1.448,0.006,0.004,21891.0,16668.0,1.0
g_mp[decorators x Elite|TestChangeProb],1.078,0.682,0.534,1.467,0.005,0.004,22802.0,17029.0,1.0
g_mp[timer x ChromLen|Elite],1.078,0.757,0.557,1.479,0.006,0.004,25234.0,16958.0,1.0
g_mp[packages x StatemInsertProb|TestInsertProb],1.078,0.907,0.545,1.477,0.007,0.005,24098.0,16793.0,1.0
g_mp[namedtupleutils x Elite|TourSize],1.078,1.219,0.561,1.48,0.009,0.006,24058.0,16423.0,1.0
g_mp[decorators x TestInsertProb|TestInsertionProb],1.078,0.876,0.537,1.451,0.007,0.005,22758.0,17193.0,1.0
g_mp[validation x TestChangeProb|TestInsertionProb],1.078,0.846,0.526,1.476,0.007,0.005,24453.0,16711.0,1.0
g_mp[return_from_generator x TestDeleteProb|TestInsertionProb],1.078,1.234,0.522,1.437,0.009,0.006,24520.0,16472.0,1.0
g_mp[cmd x ChromLen|TestDeleteProb],1.078,0.703,0.551,1.47,0.005,0.004,24734.0,17077.0,1.0
g_mp[config x StatemInsertProb|TestInsertionProb],1.078,1.057,0.517,1.442,0.008,0.006,23465.0,16153.0,1.0
g_mp[validation x Crossover|TestInsertProb],1.078,0.851,0.517,1.462,0.006,0.005,23535.0,16655.0,1.0
g_mp[signals x ChromLen|Elite],1.078,0.732,0.533,1.456,0.005,0.004,25510.0,17157.0,1.0
g_mp[decorators x ChangeParamProb|Pop],1.078,0.782,0.555,1.493,0.006,0.004,22572.0,16897.0,1.0
g_mp[headers x Elite|StatemInsertProb],1.078,1.144,0.533,1.451,0.008,0.006,25738.0,16406.0,1.0
g_mp[py_base x RandPert|TestDeleteProb],1.078,0.725,0.549,1.482,0.005,0.004,23997.0,17123.0,1.0
g_mp[timer x TestChangeProb|TestInsertProb],1.078,0.744,0.51,1.451,0.006,0.004,24650.0,16193.0,1.0
g_mp[py_helpers x TestInsertProb|TourSize],1.078,0.923,0.53,1.452,0.007,0.005,24255.0,16500.0,1.0
g_mp[pgzero_frontend x StatemInsertProb|TestInsertProb],1.079,0.733,0.519,1.445,0.006,0.004,24137.0,16962.0,1.0
g_mp[h_base x Pop|TourSize],1.079,0.988,0.534,1.471,0.007,0.005,25018.0,16135.0,1.0
g_mp[decorators x ChangeParamProb|RandPert],1.079,1.403,0.505,1.42,0.011,0.008,22796.0,17176.0,1.0
g_mp[dict_unpacking x Pop|TestChangeProb],1.079,1.356,0.518,1.457,0.01,0.007,24321.0,16285.0,1.0
g_mp[timer x ChangeParamProb|TestDeleteProb],1.079,0.999,0.529,1.441,0.007,0.005,24090.0,16418.0,1.0
g_mp[return_from_generator x RandPert|StatemInsertProb],1.079,0.818,0.556,1.485,0.006,0.004,24879.0,17338.0,1.0
g_mp[py_helpers x RandPert|StatemInsertProb],1.079,1.077,0.547,1.484,0.008,0.006,23439.0,16816.0,1.0
g_mp[s_helpers x RandPert|TestChangeProb],1.079,0.805,0.509,1.441,0.006,0.004,25257.0,17006.0,1.0
g_mp[python x RandPert|StatemInsertProb],1.079,0.732,0.521,1.457,0.006,0.004,22570.0,16850.0,1.0
g_mp[return_from_generator x TestInsertProb|TourSize],1.079,1.552,0.508,1.439,0.012,0.008,23446.0,16467.0,1.0
g_mp[config x Pop|TestDeleteProb],1.079,1.054,0.548,1.479,0.008,0.005,24176.0,16099.0,1.0
g_mp[python x Pop|TestDeleteProb],1.079,0.777,0.489,1.424,0.006,0.004,25175.0,16319.0,1.0
g_mp[maybe x RandPert|TestInsertProb],1.079,0.931,0.535,1.455,0.007,0.005,24037.0,15990.0,1.0
g_mp[namedtupleutils x TestInsertionProb|TourSize],1.079,0.828,0.539,1.471,0.006,0.005,24834.0,16167.0,1.0
g_mp[namedtupleutils x StatemInsertProb|TourSize],1.079,0.837,0.511,1.45,0.006,0.004,21771.0,15457.0,1.0
g_mp[py_helpers x RandPert|TestInsertionProb],1.079,0.745,0.546,1.469,0.005,0.004,22766.0,17119.0,1.0
g_mp[py_helpers x ChangeParamProb|Crossover],1.079,1.1,0.533,1.469,0.009,0.006,24501.0,17249.0,1.0
g_mp[immutable_list x TestInsertionProb|TourSize],1.079,0.868,0.542,1.452,0.007,0.005,25339.0,16289.0,1.0
g_mp[python x RandPert|TestChangeProb],1.079,0.665,0.566,1.498,0.005,0.004,22786.0,16733.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestInsertionProb],1.079,1.065,0.522,1.451,0.008,0.006,24170.0,16652.0,1.0
g_mp[signals x TestInsertProb|TourSize],1.079,0.778,0.562,1.49,0.006,0.004,23932.0,16471.0,1.0
g_mp[journaling x ChangeParamProb|ChromLen],1.079,0.875,0.534,1.458,0.006,0.004,23438.0,17032.0,1.0
g_mp[validation x ChangeParamProb|Pop],1.079,0.988,0.533,1.449,0.008,0.006,23529.0,17392.0,1.0
g_mp[decorators x Pop|TestDeleteProb],1.079,1.251,0.528,1.452,0.009,0.006,24045.0,15732.0,1.0
g_mp[signals x RandPert|StatemInsertProb],1.079,1.258,0.516,1.423,0.009,0.006,23876.0,16344.0,1.0
g_mp[pgzero_frontend x ChangeParamProb|TestChangeProb],1.079,1.37,0.574,1.492,0.01,0.007,23794.0,16420.0,1.0
g_mp[py_helpers x StatemInsertProb|TestDeleteProb],1.079,0.939,0.527,1.452,0.007,0.005,24774.0,16762.0,1.0
g_mp[signals x RandPert|TestDeleteProb],1.079,1.259,0.552,1.489,0.009,0.007,24451.0,16624.0,1.0
g_mp[yield_from x Elite|TestInsertionProb],1.079,0.809,0.532,1.45,0.006,0.004,24725.0,17071.0,1.0
g_mp[cmd x StatemInsertProb|TestDeleteProb],1.079,0.818,0.51,1.447,0.006,0.004,24963.0,16910.0,1.0
g_mp[packages x TestInsertProb|TestInsertionProb],1.079,1.006,0.546,1.481,0.008,0.006,25517.0,16085.0,1.0
g_mp[dict_unpacking x ChromLen|TestInsertionProb],1.079,1.039,0.525,1.449,0.008,0.005,23674.0,17040.0,1.0
g_mp[lazy_import x ChangeParamProb|TestInsertionProb],1.079,0.997,0.515,1.45,0.007,0.005,23655.0,16967.0,1.0
g_mp[yield_from x Crossover|RandPert],1.079,0.807,0.548,1.476,0.006,0.004,22084.0,16131.0,1.0
g_mp[da x Elite|TestInsertionProb],1.079,0.783,0.504,1.426,0.006,0.004,24387.0,15468.0,1.0
g_mp[maybe x Crossover|RandPert],1.079,1.266,0.538,1.449,0.01,0.007,24092.0,17078.0,1.0
g_mp[python x Crossover|RandPert],1.079,1.007,0.55,1.463,0.007,0.005,25222.0,16415.0,1.0
g_mp[lazy_import x ChromLen|RandPert],1.079,1.052,0.574,1.51,0.008,0.005,23983.0,16670.0,1.0
g_mp[cmd x ChangeParamProb|TourSize],1.079,0.766,0.512,1.428,0.006,0.004,24140.0,16725.0,1.0
g_mp[py_helpers x Elite|Pop],1.079,1.021,0.52,1.447,0.007,0.005,23214.0,15988.0,1.0
g_mp[immutable_list x Elite|Pop],1.079,0.826,0.523,1.461,0.006,0.004,23711.0,15962.0,1.0
g_mp[maybe x ChromLen|TestInsertProb],1.079,1.103,0.545,1.467,0.008,0.006,24217.0,17628.0,1.0
g_mp[return_from_generator x ChromLen|RandPert],1.079,0.787,0.539,1.494,0.006,0.004,24761.0,16513.0,1.0
g_mp[journaling x Crossover|StatemInsertProb],1.079,0.766,0.526,1.472,0.006,0.004,23928.0,16388.0,1.0
g_mp[py_base x Elite|TourSize],1.079,1.22,0.541,1.46,0.009,0.006,24106.0,16631.0,1.0
g_mp[pgzero_frontend x TestChangeProb|TestInsertProb],1.079,0.959,0.552,1.457,0.007,0.005,23736.0,17205.0,1.0
g_mp[py_base x Elite|TestDeleteProb],1.079,0.834,0.538,1.463,0.006,0.004,23165.0,16799.0,1.0
g_mp[h_base x ChromLen|RandPert],1.079,0.899,0.516,1.454,0.007,0.005,23216.0,16584.0,1.0
g_mp[pgzero_frontend x ChromLen|StatemInsertProb],1.079,0.73,0.525,1.447,0.005,0.004,22963.0,17465.0,1.0
g_mp[immutable_list x ChromLen|Crossover],1.079,1.568,0.53,1.452,0.011,0.008,26123.0,16923.0,1.0
g_mp[signals x TestChangeProb|TestInsertionProb],1.079,0.701,0.523,1.457,0.005,0.004,23803.0,16801.0,1.0
g_mp[positional_validation x TestDeleteProb|TestInsertionProb],1.079,0.825,0.512,1.423,0.006,0.004,24101.0,15876.0,1.0
g_mp[lazy_import x Crossover|TestInsertProb],1.079,0.71,0.532,1.466,0.005,0.004,22476.0,15927.0,1.0
g_mp[return_from_generator x Crossover|TestInsertProb],1.079,0.99,0.527,1.47,0.007,0.005,25370.0,16946.0,1.0
g_mp[return_from_generator x Elite|TestChangeProb],1.079,0.78,0.533,1.445,0.006,0.004,24394.0,16308.0,1.0
g_mp[journaling x ChromLen|Crossover],1.079,1.031,0.523,1.46,0.008,0.006,23554.0,16498.0,1.0
g_mp[h_base x Elite|RandPert],1.079,0.941,0.549,1.459,0.007,0.005,23373.0,15270.0,1.0
g_mp[lazy_import x TestChangeProb|TestInsertionProb],1.079,1.258,0.54,1.445,0.009,0.007,23811.0,16090.0,1.0
g_mp[validation x ChromLen|TestChangeProb],1.079,0.677,0.52,1.447,0.005,0.004,24798.0,16440.0,1.0
g_mp[py_helpers x Elite|RandPert],1.079,0.678,0.534,1.485,0.005,0.004,24317.0,14988.0,1.0
g_mp[s_helpers x Elite|Pop],1.079,1.097,0.537,1.453,0.008,0.006,23533.0,15910.0,1.0
g_mp[da x Pop|TestChangeProb],1.079,1.109,0.502,1.462,0.008,0.006,23699.0,16228.0,1.0
g_mp[signals x Crossover|RandPert],1.079,0.752,0.512,1.444,0.006,0.004,24909.0,17113.0,1.0
g_mp[headers x TestDeleteProb|TourSize],1.079,1.016,0.5,1.432,0.007,0.005,22089.0,17350.0,1.0
g_mp[headers x Pop|StatemInsertProb],1.079,1.009,0.537,1.462,0.007,0.005,23390.0,16506.0,1.0
g_mp[python x TestInsertProb|TestInsertionProb],1.079,0.819,0.564,1.502,0.006,0.004,23353.0,15715.0,1.0
g_mp[py_base x TestChangeProb|TestInsertionProb],1.079,0.855,0.552,1.485,0.007,0.005,23068.0,16844.0,1.0
g_mp[da x Crossover|Elite],1.079,1.258,0.529,1.465,0.009,0.006,24302.0,15766.0,1.0
g_mp[dict_unpacking x Crossover|Elite],1.079,0.846,0.528,1.454,0.007,0.005,23470.0,16528.0,1.0
g_mp[yield_from x Crossover|Elite],1.079,0.841,0.521,1.435,0.006,0.004,25563.0,16433.0,1.0
g_mp[cmd x Crossover|Elite],1.079,0.912,0.535,1.459,0.007,0.005,25105.0,16039.0,1.0
g_mp[signals x ChangeParamProb|TestDeleteProb],1.079,0.784,0.526,1.458,0.006,0.004,25619.0,16906.0,1.0
g_mp[py_helpers x Pop|StatemInsertProb],1.079,1.07,0.511,1.454,0.008,0.005,24080.0,17055.0,1.0
g_mp[dict_unpacking x ChromLen|TourSize],1.079,0.833,0.534,1.454,0.006,0.004,24610.0,15971.0,1.0
g_mp[yield_from x ChangeParamProb|TestInsertProb],1.079,0.927,0.533,1.439,0.007,0.005,22313.0,17199.0,1.0
g_mp[validation x ChangeParamProb|TestDeleteProb],1.079,0.879,0.543,1.48,0.007,0.005,22869.0,16775.0,1.0
g_mp[journaling x ChangeParamProb|TestInsertProb],1.079,0.919,0.509,1.455,0.007,0.005,24343.0,16389.0,1.0
g_mp[timer x Crossover|Elite],1.079,0.781,0.519,1.444,0.006,0.004,24992.0,16223.0,1.0
g_mp[dict_unpacking x Pop|RandPert],1.079,0.714,0.525,1.476,0.005,0.004,23423.0,17122.0,1.0
g_mp[py_helpers x ChromLen|TourSize],1.079,0.986,0.526,1.47,0.007,0.005,22840.0,16397.0,1.0
g_mp[packages x Pop|RandPert],1.079,1.006,0.552,1.496,0.007,0.005,23123.0,17500.0,1.0
g_mp[decorators x TestChangeProb|TestDeleteProb],1.079,0.885,0.512,1.453,0.007,0.005,25228.0,16338.0,1.0
g_mp[dict_unpacking x ChromLen|TestDeleteProb],1.08,0.759,0.552,1.492,0.006,0.004,25134.0,17275.0,1.0
g_mp[dict_unpacking x ChangeParamProb|TestDeleteProb],1.08,0.838,0.532,1.465,0.006,0.004,23482.0,16454.0,1.0
g_mp[cmd x ChangeParamProb|ChromLen],1.08,0.791,0.526,1.454,0.006,0.004,23704.0,16388.0,1.0
g_mp[cmd x ChromLen|TestInsertProb],1.08,0.82,0.539,1.468,0.006,0.004,25322.0,17219.0,1.0
g_mp[py_base x ChromLen|Pop],1.08,1.012,0.543,1.465,0.007,0.005,25078.0,16646.0,1.0
g_mp[config x ChangeParamProb|TourSize],1.08,0.802,0.516,1.442,0.006,0.004,24037.0,15581.0,1.0
g_mp[signals x Elite|RandPert],1.08,0.913,0.49,1.43,0.007,0.005,22744.0,16741.0,1.0
g_mp[namedtupleutils x Crossover|TestChangeProb],1.08,0.824,0.549,1.5,0.007,0.005,23075.0,17447.0,1.0
g_mp[immutable_list x TestChangeProb|TestInsertionProb],1.08,1.141,0.476,1.416,0.008,0.006,24585.0,16287.0,1.0
g_mp[python x ChangeParamProb|Elite],1.08,0.805,0.544,1.463,0.006,0.004,23986.0,16235.0,1.0
g_mp[positional_validation x ChangeParamProb|Crossover],1.08,1.062,0.542,1.469,0.008,0.005,23828.0,16564.0,1.0
g_mp[namedtupleutils x Elite|TestDeleteProb],1.08,1.103,0.545,1.455,0.009,0.006,25962.0,17074.0,1.0
g_mp[positional_validation x TestChangeProb|TestInsertionProb],1.08,0.921,0.494,1.427,0.008,0.005,24678.0,15937.0,1.0
g_mp[py_base x Crossover|TestDeleteProb],1.08,0.784,0.524,1.431,0.006,0.004,24121.0,15937.0,1.0
g_mp[signals x Elite|TestChangeProb],1.08,0.826,0.536,1.485,0.006,0.004,21673.0,16940.0,1.0
g_mp[timer x ChromLen|TestDeleteProb],1.08,1.002,0.524,1.451,0.007,0.005,24350.0,16885.0,1.0
g_mp[return_from_generator x Pop|TourSize],1.08,0.812,0.537,1.466,0.006,0.004,23527.0,16584.0,1.0
g_mp[pgzero_frontend x TestChangeProb|TestInsertionProb],1.08,0.887,0.53,1.457,0.007,0.005,24004.0,16084.0,1.0
g_mp[timer x StatemInsertProb|TestDeleteProb],1.08,0.748,0.519,1.459,0.006,0.004,22505.0,17348.0,1.0
g_mp[py_helpers x Elite|StatemInsertProb],1.08,1.144,0.503,1.437,0.008,0.006,23629.0,16007.0,1.0
g_mp[immutable_list x Pop|StatemInsertProb],1.08,0.841,0.53,1.45,0.006,0.004,25240.0,16408.0,1.0
g_mp[timer x TestInsertProb|TourSize],1.08,1.101,0.523,1.465,0.009,0.006,23259.0,15973.0,1.0
g_mp[signals x StatemInsertProb|TestChangeProb],1.08,0.813,0.516,1.455,0.006,0.004,24971.0,17107.0,1.0
g_mp[journaling x ChangeParamProb|Crossover],1.08,0.845,0.539,1.476,0.006,0.005,23426.0,16448.0,1.0
g_mp[python x Pop|TourSize],1.08,1.026,0.555,1.493,0.008,0.005,22249.0,15661.0,1.0
g_mp[positional_validation x TestInsertProb|TourSize],1.08,1.145,0.483,1.412,0.008,0.006,24293.0,17148.0,1.0
g_mp[return_from_generator x Crossover|TestDeleteProb],1.08,1.1,0.527,1.437,0.008,0.006,26253.0,17277.0,1.0
g_mp[decorators x ChromLen|Pop],1.08,1.57,0.522,1.47,0.011,0.008,22639.0,16571.0,1.0
g_mp[maybe x ChangeParamProb|Crossover],1.08,0.632,0.54,1.467,0.005,0.003,23372.0,17214.0,1.0
g_mp[maybe x Crossover|TestInsertionProb],1.08,0.768,0.54,1.477,0.006,0.004,24268.0,16184.0,1.0
g_mp[h_base x RandPert|TestInsertionProb],1.08,1.175,0.53,1.465,0.009,0.006,24506.0,16737.0,1.0
g_mp[cmd x Elite|TestInsertionProb],1.08,0.981,0.527,1.442,0.008,0.006,24431.0,15871.0,1.0
g_mp[headers x ChromLen|TourSize],1.08,0.93,0.538,1.467,0.007,0.005,23649.0,16726.0,1.0
g_mp[timer x ChangeParamProb|Crossover],1.08,1.802,0.518,1.446,0.013,0.009,23720.0,16065.0,1.0
g_mp[cmd x StatemInsertProb|TestChangeProb],1.08,0.946,0.509,1.452,0.007,0.005,21932.0,17136.0,1.0
g_mp[lazy_import x ChangeParamProb|StatemInsertProb],1.08,1.008,0.495,1.456,0.007,0.005,24558.0,15484.0,1.0
g_mp[signals x TestDeleteProb|TestInsertProb],1.08,0.728,0.548,1.48,0.005,0.004,23533.0,17073.0,1.0
g_mp[py_helpers x Elite|TestInsertionProb],1.08,1.208,0.554,1.459,0.01,0.007,22204.0,17191.0,1.0
g_mp[da x TestChangeProb|TestDeleteProb],1.08,0.835,0.561,1.481,0.006,0.004,24755.0,16020.0,1.0
g_mp[maybe x ChangeParamProb|Pop],1.08,0.747,0.525,1.453,0.006,0.004,25019.0,16968.0,1.0
g_mp[journaling x ChangeParamProb|TestChangeProb],1.08,0.908,0.544,1.465,0.008,0.006,23697.0,16978.0,1.0
g_mp[s_helpers x ChangeParamProb|ChromLen],1.08,0.945,0.521,1.447,0.007,0.005,23216.0,17151.0,1.0
g_mp[da x RandPert|TestChangeProb],1.08,0.709,0.503,1.456,0.005,0.004,24897.0,16120.0,1.0
g_mp[timer x Elite|Pop],1.08,1.066,0.533,1.46,0.008,0.005,21799.0,17141.0,1.0
g_mp[lazy_import x TestChangeProb|TourSize],1.08,0.934,0.524,1.444,0.008,0.005,23093.0,16140.0,1.0
g_mp[signals x Pop|TestDeleteProb],1.08,1.399,0.551,1.469,0.01,0.007,24862.0,16313.0,1.0
g_mp[da x ChangeParamProb|TestInsertionProb],1.08,0.886,0.503,1.439,0.007,0.005,22661.0,16682.0,1.0
g_mp[headers x ChangeParamProb|TestInsertionProb],1.08,1.185,0.494,1.438,0.009,0.006,25426.0,15753.0,1.0
g_mp[py_base x ChangeParamProb|ChromLen],1.08,1.558,0.536,1.445,0.012,0.008,24157.0,16001.0,1.0
g_mp[s_helpers x Crossover|RandPert],1.08,0.997,0.5,1.464,0.008,0.005,22516.0,16176.0,1.0
g_mp[immutable_list x Crossover|TestInsertionProb],1.08,0.852,0.541,1.474,0.006,0.004,23812.0,16285.0,1.0
g_mp[cmd x TestChangeProb|TestInsertionProb],1.08,0.91,0.541,1.476,0.007,0.005,25290.0,16515.0,1.0
g_mp[yield_from x TestDeleteProb|TestInsertProb],1.08,0.767,0.55,1.481,0.006,0.004,24336.0,16069.0,1.0
g_mp[maybe x Pop|TestInsertionProb],1.08,0.945,0.53,1.47,0.007,0.005,22213.0,16744.0,1.0
g_mp[namedtupleutils x TestChangeProb|TourSize],1.08,1.142,0.536,1.47,0.008,0.006,23538.0,16833.0,1.0
g_mp[cmd x RandPert|TestDeleteProb],1.08,1.566,0.541,1.476,0.011,0.008,24320.0,16749.0,1.0
g_mp[immutable_list x RandPert|TestInsertionProb],1.08,0.832,0.522,1.442,0.006,0.005,23661.0,16449.0,1.0
g_mp[dict_unpacking x Pop|TestInsertionProb],1.08,0.822,0.535,1.463,0.006,0.004,25780.0,15989.0,1.0
g_mp[pgzero_frontend x TestDeleteProb|TourSize],1.08,0.835,0.533,1.46,0.007,0.005,23619.0,17164.0,1.0
g_mp[pgzero_frontend x Elite|TestDeleteProb],1.08,0.925,0.535,1.471,0.007,0.005,25432.0,15295.0,1.0
g_mp[validation x RandPert|TestInsertionProb],1.08,0.751,0.508,1.45,0.006,0.004,24507.0,16683.0,1.0
g_mp[s_helpers x Pop|RandPert],1.08,1.568,0.517,1.436,0.011,0.008,24078.0,16618.0,1.0
g_mp[dict_unpacking x Elite|TestInsertProb],1.08,0.911,0.536,1.479,0.007,0.005,24355.0,14989.0,1.0
g_mp[timer x Crossover|StatemInsertProb],1.08,0.843,0.507,1.443,0.006,0.004,23900.0,15757.0,1.0
g_mp[py_base x ChangeParamProb|StatemInsertProb],1.08,1.345,0.488,1.42,0.01,0.007,23069.0,15943.0,1.0
g_mp[maybe x Elite|TestInsertProb],1.08,1.886,0.546,1.462,0.013,0.009,23830.0,16978.0,1.0
g_mp[yield_from x RandPert|StatemInsertProb],1.08,0.819,0.527,1.459,0.006,0.004,21326.0,16646.0,1.0
g_mp[maybe x StatemInsertProb|TestInsertionProb],1.08,1.29,0.534,1.479,0.009,0.007,20930.0,16766.0,1.0
g_mp[python x ChangeParamProb|Pop],1.08,0.922,0.545,1.48,0.007,0.005,22799.0,17074.0,1.0
g_mp[dict_unpacking x Crossover|TestInsertionProb],1.081,0.998,0.516,1.445,0.007,0.005,23766.0,17167.0,1.0
g_mp[namedtupleutils x ChangeParamProb|Pop],1.081,1.583,0.545,1.468,0.011,0.008,23564.0,17178.0,1.0
g_mp[da x TestChangeProb|TestInsertionProb],1.081,1.047,0.546,1.477,0.008,0.005,25282.0,16195.0,1.0
g_mp[cmd x TestChangeProb|TourSize],1.081,1.137,0.507,1.427,0.008,0.006,24896.0,16446.0,1.0
g_mp[positional_validation x Crossover|TestChangeProb],1.081,1.117,0.51,1.433,0.008,0.006,23788.0,16585.0,1.0
g_mp[lazy_import x StatemInsertProb|TestChangeProb],1.081,1.196,0.537,1.461,0.009,0.006,24280.0,17069.0,1.0
g_mp[py_base x Crossover|Elite],1.081,0.902,0.543,1.481,0.007,0.005,24056.0,17464.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestChangeProb],1.081,0.908,0.538,1.448,0.007,0.005,22363.0,16274.0,1.0
g_mp[s_helpers x Crossover|Elite],1.081,1.116,0.538,1.464,0.008,0.006,23756.0,17427.0,1.0
g_mp[config x TestInsertionProb|TourSize],1.081,0.867,0.522,1.457,0.007,0.005,23778.0,16988.0,1.0
g_mp[python x RandPert|TourSize],1.081,0.841,0.527,1.458,0.006,0.004,23917.0,16201.0,1.0
g_mp[journaling x Crossover|Pop],1.081,1.538,0.527,1.456,0.011,0.008,24141.0,16900.0,1.0
g_mp[timer x Crossover|RandPert],1.081,1.614,0.519,1.441,0.013,0.009,23358.0,16641.0,1.0
g_mp[decorators x RandPert|TourSize],1.081,1.06,0.516,1.456,0.008,0.005,23213.0,16892.0,1.0
g_mp[positional_validation x RandPert|TestInsertionProb],1.081,0.862,0.518,1.45,0.006,0.004,23016.0,16810.0,1.0
g_mp[da x ChangeParamProb|Crossover],1.081,0.824,0.54,1.47,0.006,0.004,23234.0,16023.0,1.0
g_mp[dict_unpacking x ChangeParamProb|Crossover],1.081,1.408,0.526,1.436,0.01,0.007,24530.0,17270.0,1.0
g_mp[journaling x RandPert|TestInsertionProb],1.081,0.953,0.503,1.438,0.007,0.005,24451.0,17328.0,1.0
g_mp[journaling x TestDeleteProb|TestInsertionProb],1.081,0.939,0.527,1.461,0.007,0.005,24891.0,16487.0,1.0
g_mp[yield_from x Crossover|StatemInsertProb],1.081,1.07,0.528,1.461,0.008,0.005,24151.0,16496.0,1.0
g_mp[da x RandPert|TestInsertionProb],1.081,1.018,0.523,1.444,0.008,0.006,24369.0,16371.0,1.0
g_mp[timer x RandPert|TestInsertionProb],1.081,1.113,0.529,1.453,0.008,0.006,23843.0,16570.0,1.0
g_mp[timer x ChromLen|TestInsertProb],1.081,1.022,0.486,1.428,0.008,0.005,24376.0,16189.0,1.0
g_mp[packages x Crossover|TestChangeProb],1.081,1.427,0.527,1.45,0.011,0.008,23575.0,16879.0,1.0
g_mp[return_from_generator x TestInsertionProb|TourSize],1.081,1.132,0.546,1.454,0.008,0.006,23561.0,15757.0,1.0
g_mp[cmd x ChangeParamProb|Elite],1.081,0.993,0.507,1.438,0.007,0.005,25199.0,16743.0,1.0
g_mp[py_helpers x Crossover|TestChangeProb],1.081,2.509,0.564,1.49,0.018,0.013,24052.0,16030.0,1.0
g_mp[yield_from x ChromLen|TestDeleteProb],1.081,0.774,0.551,1.492,0.006,0.004,24215.0,15859.0,1.0
g_mp[decorators x ChromLen|TestDeleteProb],1.081,0.925,0.549,1.471,0.008,0.005,23563.0,16416.0,1.0
g_mp[dict_unpacking x Crossover|TourSize],1.081,0.988,0.527,1.458,0.007,0.005,24231.0,16224.0,1.0
g_mp[h_base x RandPert|TestChangeProb],1.081,1.251,0.551,1.463,0.009,0.006,22806.0,17046.0,1.0
g_mp[py_helpers x Pop|TestInsertionProb],1.081,1.011,0.501,1.428,0.007,0.005,23505.0,15946.0,1.0
g_mp[h_base x RandPert|StatemInsertProb],1.081,0.968,0.517,1.452,0.007,0.005,24014.0,16984.0,1.0
g_mp[cmd x RandPert|StatemInsertProb],1.081,1.162,0.532,1.476,0.009,0.006,23856.0,17028.0,1.0
g_mp[lazy_import x TestChangeProb|TestDeleteProb],1.081,0.987,0.549,1.469,0.007,0.005,25419.0,16921.0,1.0
g_mp[validation x TestDeleteProb|TourSize],1.081,0.963,0.518,1.455,0.007,0.005,23330.0,17128.0,1.0
g_mp[headers x Elite|TestInsertionProb],1.081,0.665,0.537,1.493,0.005,0.004,23427.0,15604.0,1.0
g_mp[config x Pop|TestInsertProb],1.081,1.871,0.53,1.463,0.014,0.01,22935.0,17114.0,1.0
g_mp[config x ChromLen|Crossover],1.081,0.873,0.526,1.452,0.006,0.005,24061.0,16525.0,1.0
g_mp[h_base x ChromLen|Pop],1.081,0.886,0.548,1.482,0.007,0.005,23621.0,17408.0,1.0
g_mp[journaling x Pop|TourSize],1.081,2.084,0.548,1.458,0.015,0.011,24138.0,15739.0,1.0
g_mp[namedtupleutils x StatemInsertProb|TestInsertionProb],1.081,1.531,0.553,1.472,0.011,0.008,23896.0,16264.0,1.0
g_mp[h_base x ChangeParamProb|StatemInsertProb],1.081,1.025,0.533,1.448,0.008,0.005,24110.0,15806.0,1.0
g_mp[da x Pop|TourSize],1.081,0.68,0.552,1.485,0.005,0.003,23186.0,15756.0,1.0
