,mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
g_mp[immutable_list x Elite|TestInsertionProb],1.068,0.667,0.51,1.422,0.005,0.004,21740.0,16092.0,1.0
g_mp[namedtupleutils x ChromLen|Elite],1.068,0.623,0.527,1.429,0.005,0.003,23633.0,15979.0,1.0
g_mp[packages x Pop|TestDeleteProb],1.068,0.669,0.544,1.458,0.005,0.004,22820.0,16125.0,1.0
g_mp[cmd x TestChangeProb|TestInsertProb],1.068,0.565,0.512,1.437,0.004,0.003,23798.0,17155.0,1.0
g_mp[namedtupleutils x ChangeParamProb|TourSize],1.068,0.693,0.534,1.462,0.005,0.004,24999.0,16973.0,1.0
g_mp[py_helpers x ChromLen|Elite],1.068,1.215,0.536,1.444,0.009,0.006,23964.0,16030.0,1.0
g_mp[return_from_generator x Crossover|TestInsertionProb],1.068,0.653,0.534,1.468,0.005,0.004,23808.0,16520.0,1.0
g_mp[decorators x TestChangeProb|TourSize],1.068,0.645,0.519,1.439,0.005,0.003,23349.0,15114.0,1.0
g_mp[return_from_generator x StatemInsertProb|TestInsertProb],1.068,0.63,0.524,1.455,0.005,0.003,23160.0,17571.0,1.0
g_mp[maybe x RandPert|TestDeleteProb],1.068,0.648,0.519,1.437,0.005,0.004,23720.0,15964.0,1.0
g_mp[da x Crossover|TestDeleteProb],1.068,0.614,0.549,1.462,0.005,0.003,24232.0,16163.0,1.0
g_mp[validation x RandPert|TestChangeProb],1.068,0.625,0.508,1.439,0.005,0.003,22980.0,17202.0,1.0
g_mp[h_base x TestInsertionProb|TourSize],1.068,0.994,0.53,1.453,0.007,0.005,24127.0,16694.0,1.0
g_mp[s_helpers x RandPert|StatemInsertProb],1.068,0.653,0.526,1.455,0.005,0.004,23379.0,17199.0,1.0
g_mp[da x TestInsertionProb|TourSize],1.068,0.569,0.526,1.437,0.004,0.003,24700.0,15904.0,1.0
g_mp[immutable_list x ChangeParamProb|Elite],1.068,0.879,0.52,1.451,0.006,0.005,23712.0,17086.0,1.0
g_mp[headers x TestChangeProb|TourSize],1.068,0.623,0.535,1.448,0.005,0.003,24564.0,16380.0,1.0
g_mp[positional_validation x ChromLen|TestInsertProb],1.068,0.694,0.51,1.441,0.005,0.004,25685.0,15603.0,1.0
g_mp[dict_unpacking x ChangeParamProb|RandPert],1.068,0.725,0.541,1.455,0.005,0.004,25414.0,16825.0,1.0
g_mp[headers x Crossover|RandPert],1.068,0.624,0.509,1.436,0.005,0.003,25714.0,16097.0,1.0
g_mp[s_helpers x ChromLen|TestDeleteProb],1.068,0.611,0.566,1.467,0.005,0.003,24266.0,17142.0,1.0
g_mp[py_base x ChangeParamProb|Crossover],1.068,0.666,0.52,1.441,0.005,0.004,24614.0,16741.0,1.0
g_mp[python x TestChangeProb|TourSize],1.068,0.746,0.554,1.46,0.006,0.004,24768.0,16256.0,1.0
g_mp[python x Crossover|TestInsertProb],1.068,0.619,0.533,1.464,0.005,0.003,22448.0,16155.0,1.0
g_mp[packages x Crossover|TourSize],1.068,0.657,0.507,1.431,0.005,0.004,24060.0,16124.0,1.0
g_mp[positional_validation x StatemInsertProb|TestChangeProb],1.068,0.594,0.518,1.45,0.005,0.003,23675.0,16560.0,1.0
g_mp[validation x ChangeParamProb|StatemInsertProb],1.068,0.596,0.522,1.441,0.004,0.003,23445.0,16738.0,1.0
g_mp[maybe x ChangeParamProb|StatemInsertProb],1.068,0.632,0.51,1.437,0.005,0.003,24777.0,16438.0,1.0
g_mp[immutable_list x ChangeParamProb|StatemInsertProb],1.068,0.772,0.523,1.448,0.006,0.004,23216.0,16910.0,1.0
g_mp[cmd x ChromLen|TourSize],1.068,0.731,0.498,1.409,0.005,0.004,23785.0,17288.0,1.0
g_mp[dict_unpacking x StatemInsertProb|TestInsertionProb],1.068,0.659,0.562,1.498,0.005,0.004,22682.0,15687.0,1.0
g_mp[return_from_generator x Pop|TestInsertionProb],1.068,0.692,0.536,1.457,0.005,0.004,24006.0,17047.0,1.0
g_mp[positional_validation x ChromLen|TestInsertionProb],1.068,0.587,0.537,1.462,0.004,0.003,23498.0,16366.0,1.0
g_mp[yield_from x ChangeParamProb|Elite],1.069,0.544,0.495,1.424,0.004,0.003,24718.0,15929.0,1.0
g_mp[validation x ChangeParamProb|ChromLen],1.069,0.64,0.531,1.448,0.005,0.003,23549.0,16746.0,1.0
g_mp[decorators x Elite|TestInsertionProb],1.069,0.608,0.579,1.494,0.005,0.004,22596.0,16817.0,1.0
g_mp[positional_validation x ChangeParamProb|ChromLen],1.069,0.561,0.55,1.48,0.004,0.003,24579.0,16872.0,1.0
g_mp[python x RandPert|TestDeleteProb],1.069,0.762,0.541,1.465,0.006,0.004,22283.0,16396.0,1.0
g_mp[packages x TestChangeProb|TourSize],1.069,0.703,0.54,1.468,0.005,0.004,20311.0,16130.0,1.0
g_mp[pgzero_frontend x Crossover|StatemInsertProb],1.069,0.63,0.525,1.471,0.005,0.003,23952.0,16434.0,1.0
g_mp[validation x Elite|StatemInsertProb],1.069,0.823,0.51,1.424,0.006,0.004,24036.0,17076.0,1.0
g_mp[py_helpers x Crossover|Elite],1.069,0.562,0.517,1.437,0.004,0.003,25016.0,16074.0,1.0
g_mp[dict_unpacking x Elite|TestDeleteProb],1.069,0.589,0.528,1.458,0.005,0.003,22627.0,15436.0,1.0
g_mp[py_helpers x Pop|RandPert],1.069,0.76,0.518,1.443,0.006,0.004,22661.0,17488.0,1.0
g_mp[python x ChangeParamProb|Crossover],1.069,0.549,0.532,1.453,0.004,0.003,24841.0,17113.0,1.0
g_mp[pgzero_frontend x ChromLen|Crossover],1.069,0.563,0.552,1.479,0.004,0.003,25558.0,17365.0,1.0
g_mp[yield_from x ChangeParamProb|Crossover],1.069,0.72,0.547,1.468,0.006,0.004,23665.0,16029.0,1.0
g_mp[timer x ChangeParamProb|TestInsertionProb],1.069,0.683,0.542,1.463,0.005,0.004,23917.0,16804.0,1.0
g_mp[python x Elite|TestInsertionProb],1.069,0.706,0.521,1.439,0.006,0.004,24671.0,15446.0,1.0
g_mp[py_base x ChromLen|TestInsertionProb],1.069,0.713,0.56,1.506,0.005,0.004,24232.0,16870.0,1.0
g_mp[s_helpers x TestChangeProb|TourSize],1.069,0.653,0.55,1.466,0.005,0.004,23794.0,17031.0,1.0
g_mp[cmd x ChangeParamProb|TestInsertionProb],1.069,0.629,0.507,1.44,0.005,0.003,23636.0,16003.0,1.0
g_mp[maybe x Elite|TourSize],1.069,0.595,0.552,1.492,0.004,0.003,23465.0,16883.0,1.0
g_mp[validation x TestChangeProb|TourSize],1.069,0.721,0.533,1.446,0.005,0.004,24151.0,16565.0,1.0
g_mp[timer x RandPert|TourSize],1.069,0.745,0.527,1.463,0.005,0.004,24152.0,16470.0,1.0
g_mp[journaling x TestInsertionProb|TourSize],1.069,0.733,0.544,1.451,0.006,0.004,24711.0,16011.0,1.0
g_mp[cmd x Crossover|StatemInsertProb],1.069,0.635,0.539,1.474,0.005,0.003,25660.0,16895.0,1.0
g_mp[packages x ChromLen|TestInsertProb],1.069,0.632,0.528,1.469,0.005,0.003,23159.0,16602.0,1.0
g_mp[decorators x ChromLen|StatemInsertProb],1.069,0.682,0.527,1.445,0.005,0.004,22170.0,16271.0,1.0
g_mp[lazy_import x ChromLen|TestDeleteProb],1.069,0.672,0.507,1.436,0.005,0.004,24940.0,17637.0,1.0
g_mp[headers x StatemInsertProb|TourSize],1.069,0.751,0.512,1.437,0.006,0.004,24444.0,16247.0,1.0
g_mp[cmd x Pop|TourSize],1.069,0.597,0.524,1.435,0.004,0.003,24633.0,15431.0,1.0
g_mp[da x Elite|StatemInsertProb],1.069,0.661,0.534,1.455,0.005,0.003,23550.0,16930.0,1.0
g_mp[namedtupleutils x Pop|TourSize],1.069,0.58,0.488,1.432,0.005,0.003,25259.0,15968.0,1.0
g_mp[return_from_generator x Elite|RandPert],1.069,0.686,0.543,1.451,0.005,0.004,25202.0,16439.0,1.0
g_mp[signals x ChromLen|Pop],1.069,0.673,0.51,1.441,0.005,0.003,24054.0,15954.0,1.0
g_mp[maybe x ChangeParamProb|TestChangeProb],1.069,0.585,0.533,1.459,0.004,0.003,24771.0,16630.0,1.0
g_mp[da x Elite|RandPert],1.069,0.777,0.547,1.471,0.006,0.004,25435.0,16305.0,1.0
g_mp[journaling x ChromLen|StatemInsertProb],1.069,0.598,0.513,1.438,0.005,0.003,22728.0,16749.0,1.0
g_mp[validation x ChromLen|StatemInsertProb],1.069,0.567,0.52,1.444,0.004,0.003,24969.0,17183.0,1.0
g_mp[positional_validation x Pop|TestDeleteProb],1.069,0.704,0.515,1.45,0.005,0.004,23878.0,16853.0,1.0
g_mp[yield_from x Elite|Pop],1.069,0.616,0.515,1.448,0.005,0.003,25404.0,17069.0,1.0
g_mp[py_base x ChromLen|StatemInsertProb],1.069,0.59,0.523,1.464,0.004,0.003,24361.0,16664.0,1.0
g_mp[yield_from x TestInsertProb|TourSize],1.069,0.55,0.538,1.471,0.004,0.003,25395.0,16537.0,1.0
g_mp[validation x TestInsertProb|TourSize],1.069,0.68,0.536,1.455,0.005,0.004,23461.0,17113.0,1.0
g_mp[yield_from x ChromLen|Pop],1.069,0.689,0.539,1.472,0.005,0.004,23816.0,16685.0,1.0
g_mp[py_helpers x Crossover|TestInsertProb],1.069,0.664,0.537,1.454,0.005,0.003,23646.0,17815.0,1.0
g_mp[positional_validation x Crossover|TestInsertProb],1.069,0.579,0.518,1.444,0.004,0.003,23354.0,15878.0,1.0
g_mp[pgzero_frontend x Elite|RandPert],1.069,0.812,0.536,1.441,0.006,0.004,24391.0,17420.0,1.0
g_mp[return_from_generator x ChangeParamProb|Pop],1.069,0.643,0.521,1.442,0.005,0.003,23442.0,16279.0,1.0
g_mp[dict_unpacking x TestDeleteProb|TourSize],1.069,0.632,0.544,1.473,0.005,0.003,23215.0,16319.0,1.0
g_mp[timer x RandPert|StatemInsertProb],1.069,0.608,0.532,1.459,0.004,0.003,23499.0,16870.0,1.0
g_mp[cmd x TestDeleteProb|TestInsertProb],1.069,0.579,0.528,1.466,0.004,0.003,24015.0,17011.0,1.0
g_mp[python x TestDeleteProb|TourSize],1.07,0.676,0.529,1.442,0.005,0.004,24613.0,15415.0,1.0
g_mp[namedtupleutils x ChromLen|StatemInsertProb],1.07,0.636,0.523,1.447,0.005,0.003,25509.0,16679.0,1.0
g_mp[namedtupleutils x Crossover|Elite],1.07,0.665,0.516,1.437,0.005,0.003,24489.0,17148.0,1.0
g_mp[immutable_list x ChromLen|TestDeleteProb],1.07,0.687,0.53,1.468,0.005,0.004,24865.0,16922.0,1.0
g_mp[packages x ChromLen|StatemInsertProb],1.07,0.947,0.522,1.444,0.008,0.005,23356.0,16412.0,1.0
g_mp[maybe x Crossover|Elite],1.07,0.778,0.53,1.468,0.006,0.004,24835.0,17057.0,1.0
